"id","ident","type","name","latitude_deg","longitude_deg","elevation_ft","continent","iso_country","iso_region","municipality","scheduled_service","gps_code","iata_code","local_code","home_link","wikipedia_link","keywords"
9273,"29RI","heliport","Vaucluse Farm Heliport",41.5421981811523,-71.2360992431641,40,"NA","US","US-RI","Portsmouth","no","29RI",,"29RI",,,
9274,"29SC","small_airport","Hannah Rhea Field",32.9014015197754,-80.8535995483398,89,"NA","US","US-SC","Walterboro","no","29SC",,"29SC",,,
45809,"29TA","small_airport","Cactus Hill Airport",33.873053,-98.645906,1040,"NA","US","US-TX","Wichita Falls","no","29TA",,"29TA",,,
9275,"29TE","heliport","Pearland Heliport",29.5585994720459,-95.2807998657227,51,"NA","US","US-TX","Pearland","no","29TE",,"29TE",,,
45784,"29TN","heliport","Bledsoe County Hospital Heliport",35.62015,-85.190875,957,"NA","US","US-TN","Pikeville","no","29TN",,"29TN",,,
9276,"29TS","heliport","West Houston Medical Center Heliport",29.7285995483398,-95.5943984985352,81,"NA","US","US-TX","Houston","no","29TS",,"29TS",,,
9277,"29TX","small_airport","Lockett Airport",34.0945014953613,-99.3656005859375,1282,"NA","US","US-TX","Vernon","no","29TX",,"29TX",,,
9278,"29VA","small_airport","Rhynalds Ranch Airport",38.5293006896973,-77.738899230957,285,"NA","US","US-VA","Remington","no","29VA",,"29VA",,,
45869,"29VT","seaplane_base","Middle Hero Seaplane Base",44.756389,-73.266667,105,"NA","US","US-VT","Grand Isle","no","29VT",,"29VT",,,
9279,"29WA","heliport","Crossings Heliport",47.2616996765137,-122.435997009277,384,"NA","US","US-WA","Tacoma","no","29WA",,"29WA",,,
9280,"29WI","small_airport","Whittlesey Cranberry Co Airport",44.3255004883,-90.0273971558,982,"NA","US","US-WI","Babcock","no","29WI",,"29WI",,,
45843,"29XA","heliport","Seton Edgar B. Davis Hospital Heliport",29.673581,-97.654828,395,"NA","US","US-TX","Luling","no","29XA",,"29XA",,,
9281,"29XS","heliport","Temple Eastex Heliport",31.1830997467041,-94.7806015014648,240,"NA","US","US-TX","Diboll","no","29XS",,"29XS",,,
9283,"2A4","seaplane_base","Vor Lake Waterlane Seaplane Base",66.899299621582,-151.47200012207,631,"NA","US","US-AK","Bettles","no","2A4",,"2A4",,,
9284,"2A7","heliport","Department of Transportation Heliport",39.9598007202148,-83.0440979003906,715,"NA","US","US-OH","Columbus","no","2A7",,"2A7",,,
9285,"2A8","small_airport","Addison Municipal Airport",34.209300994873,-87.1580963134766,786,"NA","US","US-AL","Addison","no","2A8",,"2A8",,,
9287,"2AK","small_airport","Lime Village Airport",61.3591003417969,-155.440002441406,552,"NA","US","US-AK","Lime Village","no","2AK",,"2AK",,,
9288,"2AK0","small_airport","Mac Kenzie Country Airpark",61.2559013367,-149.975006104,120,"NA","US","US-AK","Point Mackenzie","no","2AK0",,"2AK0",,,
9289,"2AK1","small_airport","Blair Lake Airport",64.3637008666992,-147.363998413086,910,"NA","US","US-AK","Fairbanks /Ft Wainwright/","no","2AK1",,"2AK1",,,
9290,"2AK2","small_airport","Clear Creek Airport",64.453498840332,-147.563003540039,660,"NA","US","US-AK","Fairbanks /Ft Wainwright/","no","2AK2",,"2AK2",,,
9291,"2AK3","heliport","Five Finger CG Heliport",57.2699012756,-133.630996704,48,"NA","US","US-AK","Five Finger","no","2AK3","FIV","2AK3",,,
9292,"2AK4","small_airport","Oyster Cove Airport",59.4700012207031,-151.511993408203,45,"NA","US","US-AK","Homer","no","2AK4",,"2AK4",,,
